AMI	Acute Myocardial Infarction
ALZH	Alzheimer's Disease
ALZHDMTA	Alzheimer's Disease and Rltd Disorders or Senile Dementia
ATRIALFB	Atrial Fibrillation
CATARACT	Cataract
CHRNKIDN	Chronic Kidney Disease
COPD	Chronic Obstructive Pulmonary Disease
CHF	Heart Failure
DIABETES	Diabetes
GLAUCOMA	Glaucoma
HIPFRAC	Hip/Pelvic Fracture
ISCHMCHT	Ischemic Heart Disease
DEPRESSN	Depression
OSTEOPRS	Osteoporosis
RA_OA	Rheumatoid Arthritis / Osteoarthritis
STRKETIA	Stroke / Transient Ischemic Attack
CNCRBRST	Breast Cancer
CNCRCLRC	Colorectal Cancer
CNCRPRST	Prostate Cancer
CNCRLUNG	Lung Cancer
CNCRENDM	Endometrial Cancer
ANEMIA	Anemia
ASTHMA	Asthma
HYPERL	Hyperlipidemia
HYPERP	Benign Prostatic Hyperplasia
HYPERT	Hypertension
HYPOTH	Acquired Hypothyroidism
