drug_group	bug
quinolone	Coagulase-negative staphylococci
tmp_smx	Coagulase-negative staphylococci
quinolone	Enterobacter cloacae
amoxicillin	Enterococcus faecium
penicillin	Enterococcus faecium
nitrofurantoin	Enterococcus faecium
nitrofurantoin	Escherichia coli
penicillin	Escherichia coli
quinolone	Escherichia coli
tmp_smx	Escherichia coli
clindamycin	Methicillin-resistant S. aureus (MRSA)
tmp_smx	Methicillin-resistant S. aureus (MRSA)
tetracycline	Methicillin-resistant S. aureus (MRSA)
amoxicillin	Methicillin-susceptible S. aureus (MSSA)
cephalosporin_gen1	Methicillin-susceptible S. aureus (MSSA)
clindamycin	Methicillin-susceptible S. aureus (MSSA)
penicillin	Methicillin-susceptible S. aureus (MSSA)
amoxicillin	Proteus mirabilis
quinolone	Proteus mirabilis
nitrofurantoin	Proteus mirabilis
tmp_smx	Proteus mirabilis
macrolide	Streptococcus pneumoniae (non-meningitis)
penicillin	Streptococcus pneumoniae (non-meningitis)
quinolone	Streptococcus pneumoniae (non-meningitis)
tetracycline	Streptococcus pneumoniae (non-meningitis)
amoxicillin	Streptococcus pneumoniae (non-meningitis)
